Fri. Sep. 18, 2020             LANDSAT 7                 Time: 13:49
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 039 / 035

L0R Reference Image: L71EDC1899281180600_HDF.202022252
Acquisition Date: Oct 08, 1999

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
038   035   06-13-2000, 07-01-2015
038   036   06-13-2000, 09-19-2015
039   034   07-06-2000, 07-24-2015
039   035   05-03-2000, 07-24-2015
039   036   05-03-2000, 03-04-2016
040   034   06-11-2000, 05-09-2014
040   035   06-11-2000, 04-23-2014


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0390340074_01   36.628826 -113.806612  1357.880       0.918    -2.123     1.230    -1.952
0390340079_01   36.674219 -113.806033  1341.055       6.005    -0.795     6.044     0.139
0390340099_01   36.686533 -113.924020  1336.839       1.786     1.739     1.494     1.990
0390340127_01   36.690610 -113.863099  1414.870       1.714    -3.645     2.248    -3.331
0390340136_01   36.714259 -113.836628  1468.220       1.077     2.185     0.726     2.322
0390340161_01   36.911197 -115.365184  1432.222       6.677     4.187     5.941     5.147
0390340189_01   36.880594 -115.266220  1427.909      -1.380    -6.866    -0.307    -6.980
0390340197_01   36.839462 -115.340172  1795.265       5.411     5.858     4.434     6.598
0390340230_01   36.663222 -113.931356  1239.804       0.718     3.196     0.217     3.264
0390340235_01   36.601597 -113.838934  1325.739      -0.279     0.703    -0.384     0.652
0390340248_01   36.674206 -114.098067  1121.450      -4.450     3.184    -4.879     2.458
0390340274_01   36.909140 -115.332914  1413.320       4.320     5.272     3.452     5.857
0390340302_01   36.671722 -113.843396  1368.046      -0.646    -6.611     0.376    -6.619
0390340303_01   36.609817 -113.773879  1258.846       1.030    -1.216     1.201    -1.041
0390340309_01   36.692445 -113.829469  1440.346       1.682     4.661     0.943     4.856
0390340320_01   36.707198 -113.887279  1519.266       3.661     1.539     3.374     2.080
0390340353_01   36.778931 -115.267524  1747.654       1.739     3.811     1.130     4.020
0390340364_01   36.773456 -114.099645   490.824      -0.200    -2.306     0.155    -2.308
0390340382_01   36.968966 -115.589399  1432.956      -0.221    -4.261     0.436    -4.235
0390340389_01   36.823591 -114.458285   823.000      -6.577     1.802    -6.768     0.770
0390340392_01   36.688889 -114.707829   529.749       0.051     0.784    -0.070     0.782
0390340394_01   36.932900 -115.581294  1288.570      -0.420     1.859    -0.697     1.768
0390340402_01   36.878629 -115.243369  1590.438      -4.883     3.550    -5.355     2.751
0390340405_01   36.833848 -115.573755  1355.729       5.327    -4.472     5.938    -3.595
0390340406_01   36.861283 -115.258586  1606.130      -3.836     6.156    -4.722     5.479
0390340408_01   36.932363 -115.559408  1759.797      -0.602     5.781    -1.476     5.602
0390340409_01   36.783808 -115.304736  1289.546      -3.898     1.818    -4.120     1.195
0390340424_01   36.865142 -114.821309  1114.986      -4.590    -2.276    -4.178    -2.948
